corpus,speaker_id,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64
CommonVoice-ES,19b9d0d43a953d7efecd3f727a2944908c9d0f31dc016ce53ff3ad3e87bc81fc0064ba86b672bf80f31ceb2ae43655d36796d9f3ebd89def211e384e5cf63b33,-6.2481575,-0.4658621,1.9187275,4.37075,0.84049904,8.920417,-4.79731,-2.8531365,-0.64980775,-1.784762,-1.8590939,-3.0125422,0.934884,1.0137897,6.9413767,-0.50077564,-0.5576464,3.4217281,-3.9718032,3.5367565,5.587202,1.7968124,0.9582389,-0.3350529,1.628134,-0.27663255,-1.07172,-1.4954479,0.030060759,-1.1564097,0.14579228,2.513627,1.1925695,-3.6393976,1.1123929,-4.1549244,0.009017562,-1.0537107,0.93560225,1.0931853,2.2103171,-0.5332736,-0.3342229,0.14998724,-2.3703403,-0.09228136,-4.406083,-1.0143745,1.5220972,1.8314846,2.020543,-0.34391677,1.0177429,1.241438,-1.9642223,-1.1702346,-3.7661984,-0.85094625,-0.020595726,-1.672205,-0.25189352,-1.3673813,1.4352311,-1.5384576
CommonVoice-ES,19bb2118a6228ef0417576624f3934bc2fd95f39b4bb4afd5776ea9cb83cdff6b44ed4908097a78704fbf6c7e981dffe0bf3552ff5c559714cd4734c8056d35b,-10.502947,1.5926338,-4.155725,1.0949509,0.5013198,0.41668424,1.2904305,0.77431595,-4.3733616,4.659387,-0.8410796,-1.8037744,0.89545435,-0.3215549,-0.26595712,-1.2691245,-0.7558214,0.24831252,2.173427,-3.3442886,1.5574588,0.5620977,2.4464474,0.11689206,-2.6045587,-0.09969104,-3.4255106,0.6928046,1.49057,-0.68541855,-2.9447856,1.8718027,-0.2194161,0.69090015,1.7225443,0.819259,0.072148934,1.8594899,-0.69722515,3.4618208,-0.781904,0.96310425,-2.9492786,-0.2572763,0.42414948,1.2559355,-0.9505474,2.3841453,1.002157,-0.57063407,0.24948141,2.018812,-0.80591387,-0.43825436,-0.48700944,-0.5853216,-0.45331177,1.4403751,-0.1426591,-0.4115908,1.4950855,0.740801,-1.2108066,-1.6608901
CommonVoice-ES,19bbabe3bebf780adf35744ccf5819e51964b45954c62f43c5a59a46d90baf8a80336648e7847c81c10b1e33b4deded3006dc48a86f34804c047e55c2bfc7522,-9.2573185,-2.0456047,4.568113,-2.2604105,-1.8135256,-3.0476193,-0.23377785,-0.066572525,-1.9344478,-0.31936583,4.0187335,0.03096293,2.5366366,-2.761168,-0.48775616,-0.7147618,4.203706,-1.5556092,0.15995346,-0.591944,0.3650619,0.5426724,-0.3364602,2.16963,1.5543467,-0.19856909,-0.70625126,-0.33977735,1.6307544,0.7384305,4.306243,-0.75332826,1.1290783,-2.2258627,1.264136,3.1871157,-1.482572,-0.19484039,-0.26407057,1.217334,2.108133,-1.0173504,2.1199255,4.407353,-0.10819339,1.5749145,-1.3789363,1.8431804,-1.3593371,-1.349152,0.34017897,-1.0088181,-0.22615246,1.692801,1.52905,-0.16532274,2.1236725,-1.0175184,-0.94437337,0.32969978,-0.549135,0.21097407,0.4095062,-0.77498
CommonVoice-ES,19bd8b9531093f320f16ac49262649829fcf6f610545ba73b4b6a55cfd7c61a7187e7b12a9c31499866af797480e54272c38083de7735c1ad2ad3b9ee5098fbb,-6.58775,-1.4012855,7.317778,1.9522017,4.9536896,3.911437,-3.445508,-3.0529652,-1.733617,1.642313,-2.9108717,-2.0501108,-3.5446095,1.1112076,5.1509566,0.10173038,-3.0551274,-1.2091967,-1.7517328,2.6639812,2.226472,1.8288039,-2.2543304,-1.1987139,2.1698442,2.3389468,-1.4108056,1.0195559,0.2505531,-3.1190608,-1.9979665,1.6775343,-0.30222636,1.2017895,-0.014226175,-2.4051673,-2.1335056,-1.32694,1.2425168,1.7191737,1.9376011,0.71266395,0.8714152,2.8404114,1.5892162,1.5213361,-1.6454786,-0.22296722,2.2730224,3.0057397,-0.09486443,-0.3193301,-1.8214744,0.024743533,-0.09774258,0.82227516,2.8328493,-0.1948882,-0.1317038,-0.043497555,1.6447276,-1.5579951,1.9772795,1.8314439
CommonVoice-ES,19c37a6f6393ab8c7bc2025e70b587b5414d80f1174c032b46bd8c0b9dffbd7d4ea19a9da4b2fa1c27c5eb531c09b239052b529a23417fb75ce74b3883be7a45,-11.637959,2.8935988,-5.214221,0.70172316,0.6915611,2.1744184,0.09221135,-1.1414427,1.4673936,2.5243921,0.17462796,-0.8733962,-0.941327,-3.817758,-0.61429286,2.0313408,-2.2315543,-3.5451806,0.15787095,1.2664092,-4.032078,1.2608453,2.4649856,-0.14117293,0.80943733,-0.91874665,-2.133508,1.601359,4.029764,3.2719245,-2.2739105,-1.2534711,-2.9729967,-0.65429693,3.478027,-2.9787679,-1.1259955,0.30440727,1.1144444,-2.7509372,-2.4042096,-0.013627812,1.7140981,-4.226369,0.5435903,-0.029968182,2.3149014,-1.2991401,-0.211163,1.4003938,1.7893641,-1.7518003,-0.7048303,0.09846895,0.53384185,-1.6391368,3.6030533,0.27607635,1.5231642,0.44511417,1.7477912,1.2175474,1.5150596,1.7606668
CommonVoice-ES,19c8688c2d9906c130c15e7e171bf4cf7ef4c06fa41ef1f50502ec89a91aba3394bc61561c4b8e18a1cf4ab31821c8c06ca9bf13f3336067f93cd61f3dd45573,-5.9058228,-6.14022,2.4100745,0.17536622,-3.0726066,3.7128577,2.5754328,-0.1820308,0.3807286,0.7524378,-3.1323721,1.0178845,4.3027697,0.34552073,-3.6547153,0.04021712,1.1326804,-2.4622147,1.695988,1.3947153,-1.4006675,-0.9217913,-1.5107018,7.0252147,1.3111639,-3.034874,1.0968285,0.4453362,0.13930406,-1.1991177,0.4110472,-1.6512556,0.98429525,0.30691782,-3.612086,-2.1812897,0.9776397,-0.137602,-2.0106082,0.09981905,0.38414392,0.6504095,-1.0874382,-1.5474234,-3.208881,-0.86546916,0.3187984,0.745505,-1.2232255,-1.5689964,-1.3725833,-1.1214862,-1.0535902,-0.26478463,-1.1466326,2.0350535,2.4666078,0.697086,-0.035094395,1.6602592,3.3467312,-0.7296493,0.10478871,1.899923
CommonVoice-ES,19d82f018bd07443fb5523e85b47339182801caf5b463be0439f883a43374f6da6d8761bb1d9f39bcb2651523192da51c5433bccc4a2f4effa44ce1ebe064c59,-5.211342,2.5067441,-3.566993,-3.6400716,0.19549146,-9.586213,1.2893488,0.35070834,-2.4662018,-1.8901511,4.8888474,0.045717824,-2.7420554,-2.5367975,1.1949288,1.4672506,0.12701187,0.6601435,-2.9074419,1.0868173,-2.58341,1.4783467,-3.8611474,1.2068002,1.9529351,0.016148891,1.7235289,3.4897456,-0.16442771,1.6368285,0.21701522,1.4375895,0.6559541,1.0871905,-0.39738873,0.07069014,0.620185,-1.4292336,3.076342,-1.072492,1.3256674,2.6566808,-0.02574664,0.7869624,0.08738612,-0.7533369,0.6681916,-5.0049324,-1.6855377,-0.9514644,0.2548992,1.6628426,-0.14687422,-0.54038745,0.011329437,-0.13675229,1.1678413,-1.2239759,-1.0709226,-2.2837758,-1.4451823,-0.7485106,-0.3895031,-0.6179964
CommonVoice-ES,19f977470c4b6502c74d277a67210675f75174e4888d8b111b56b07a29ad044c479b8b7f6057064cef7903ef3d304699a2e646858b1df4510118024d1375a108,-5.4782786,-1.3133614,3.168262,0.32084274,0.45927054,-1.4568835,-1.9093199,1.7098181,3.4011276,0.14172085,3.8214707,-2.1725528,3.3086302,0.2735536,0.90183055,2.4438217,0.5002522,0.08365863,0.71522146,-2.131602,0.6440545,-0.48094222,-0.1340012,3.700418,1.1352229,0.7456875,0.612036,-0.6410145,-2.3804016,1.1727475,1.7826892,-1.0929791,-0.014449512,0.36196378,-0.14765279,-2.9940305,1.3725704,1.9742591,-2.187397,0.25263545,-2.023814,1.0119225,-6.403633,-0.3624896,2.388569,2.2701478,-3.4233909,0.39280072,0.055865243,-1.4372216,0.040711742,-0.13338572,0.15041228,-0.26268107,2.4433293,-3.5437243,1.3840444,-0.80425525,3.4838002,-0.25784314,0.18515481,0.33506843,-1.33243,-0.9525051
CommonVoice-ES,1a0a1cf68c0a5897967c91c3593b21d5948f4fd012ada635b5800736a6014843a81bd7c035ff20108b7537069237676e22c4dd3e61ef2322d6b56414aac2934f,-8.8222685,-1.3596045,2.4971719,-0.11094256,0.22736867,-2.7707446,2.3723524,0.3897322,-3.2275243,-1.1451442,3.4377892,0.04388403,-0.07920663,0.0666866,0.40160993,-1.360047,-0.80560076,3.1038294,-0.74583316,-1.12753,0.9641319,-0.57438314,1.6475279,-0.70298946,-0.57426995,-0.9638135,-0.54459155,-0.6449094,-1.9407651,-0.34224,0.59672034,2.754084,0.57538414,1.046603,-0.72771347,1.4795548,1.4251816,-0.030418407,1.6360441,-0.7238201,0.79583436,0.27871484,0.7190124,-1.4114325,-0.52101845,-0.68446386,1.9494346,-0.33392444,-0.3377637,-1.3281069,-0.2513044,-0.13949631,1.1910437,-0.9337197,1.8951929,0.31794488,0.07915737,-1.3779333,-0.8549086,-0.18831216,-0.34702122,-0.16054818,-1.2912756,-1.2880876
CommonVoice-ES,1a21ee196de704a30d24a70af9004147ada0be2f764cf478b6bbc9f83de6e07133151aad78cf05c0d7492a16f1760b84fadf980a8236662c60996fc8f91e51ff,-8.428092,-0.24765246,0.8098367,0.41251564,0.43549773,-0.2708434,3.6806705,0.15173914,0.882578,-4.617635,-0.111932375,-0.8737534,4.0697246,1.1120723,-0.32298824,-2.0293489,1.0780892,-0.9466797,-2.6429372,-2.7765205,0.4045648,-1.5879809,1.4716519,-1.0762097,-2.9212725,0.107420824,1.3077399,-0.6491054,0.74653405,1.8891151,-1.9759865,0.66973907,0.46691334,5.0217032,-0.87805307,-0.2766472,2.987132,-1.927049,-4.7712245,-2.6255584,0.72370183,3.1033437,-0.030972943,-2.5823908,-3.7394972,0.21116892,1.0218238,0.31368482,0.44493005,-1.5983342,0.93085814,-0.50477505,-1.1543208,-0.3529457,-0.2697578,1.2479049,1.6206468,1.1711977,-2.2206042,-1.8533,1.4688699,1.1433265,0.43340826,1.8536634
CommonVoice-ES,1a2c737f0e0afe8ca071a373bffd29a1e43e66d2f7130748eaccfdd58cec4d082aa6582d284f8f42c501e4ed77b3407212a07c4a5d381e19367f5a7b5c7cc45b,-7.0953903,-1.0713403,-3.7409754,-0.79421914,2.536812,3.2171147,-2.9232965,-2.56137,-4.4222326,1.4411285,-5.729068,-3.0625632,1.4074957,0.30975503,3.473948,-0.04510769,-1.177707,-0.43772936,-3.404361,2.452347,1.0759382,4.6612773,0.16328484,-0.9437372,-1.2400603,2.7963448,-1.3807881,5.9391017,3.6366773,-3.3619504,-0.94807774,-4.8268294,-1.5432327,1.015629,4.009602,1.3474854,3.9499588,-0.009390165,0.86073357,-0.015013028,2.7567663,-0.07721754,1.917226,-3.3532188,5.2384486,-3.28954,0.1257886,-1.7838793,-0.8840321,1.9099779,-0.8086451,0.31295967,0.8018002,0.015682926,-0.46031216,1.7155228,2.2883353,0.5705519,2.8463557,2.3550894,2.9034073,-1.2012397,1.2206781,-0.23725997
CommonVoice-ES,1a3e5f099809e181b24b31442c2f774c19764273a3edc720a73a52bd138a815d409ed677cc3b235a62f708b4b2dfdf61d22c2db3fffecbdd5685eb8eda8c43c6,-8.029589,-2.93512,-3.5187008,2.3141735,2.0243244,0.4378875,1.7053728,3.5730588,0.18982777,0.944206,-0.30639824,-3.6071,-0.08772711,-0.42368084,5.3576636,-1.7773349,2.611893,-0.7825311,-2.4831097,-1.6844771,0.95082366,2.0474508,-0.089853935,-1.2356142,-0.3214042,-0.09282109,-7.8550673,3.8042352,2.747748,-1.7736713,2.6088686,-2.6662228,0.28062302,-0.24170572,0.63941437,-3.362059,1.7577599,-0.3117343,-1.3554213,2.520392,1.4388409,0.8291506,0.42124966,1.7100862,2.147784,0.14539158,2.3909307,0.87108284,2.7870166,0.6923748,1.6607313,1.4408567,2.9079208,-3.1879904,1.2610558,0.8554887,-0.1553564,0.634625,-1.3916444,-0.9876959,3.0440125,0.50051975,1.8570092,0.669276
CommonVoice-ES,1a46d7862af751a4ec85051b5087849aa4e4966792d0fab76833b59375bcd8988c2b7fd67a7661e401241556d7bfba9769dbfa116be6176c95440e349dad7e03,-7.2563205,-2.018704,-0.7821129,-1.2860792,0.8737331,-7.548811,4.4117317,2.8351882,-3.5837002,-0.19268571,1.2727029,-2.6250293,-1.4902536,-0.73636085,-0.9492074,-0.4184907,-1.7207313,-0.23386167,-4.252704,-2.9364603,2.9774325,0.45156562,0.67325217,-0.62730235,-0.49826732,-1.1773323,-1.909515,0.66320163,-0.94359905,-0.5688746,2.3398812,-0.5615675,-1.6925155,-0.1658174,0.077953376,-1.7014884,1.1835088,1.4637427,-0.42073348,-1.7228931,-0.59609735,-1.7960882,0.4923566,0.3450789,-1.2434275,-0.6475998,0.49636656,-2.000389,-1.5657547,0.5016684,-2.120693,-1.2799956,2.3984814,-1.7040021,1.228975,1.4332963,-1.880037,1.9367868,-0.65207124,0.24979053,0.98089224,0.9629724,0.89969546,0.9555134
CommonVoice-ES,1a4a0743846912be771f6bf24ec9a85d3afc8b3ca8b4ee856cb139f8f8e10d38c90228763512d689955a9638b3914f66b9ef9562150e4a8563fb31207226c4f8,-8.700404,-0.27814195,3.2820582,-1.5068967,2.1756146,0.18493582,-0.2932244,-1.6526788,1.9701189,-1.9283141,-0.9935416,2.146263,0.85672385,2.8307128,4.6302876,-1.6860508,2.2523391,-2.8048816,3.5372891,-3.495262,-2.4486597,-1.3656627,-2.1860316,1.3426709,-2.0310097,0.3304986,-4.175145,0.8145573,0.005119598,0.4739408,0.76259583,2.1820366,0.13028559,1.6971543,1.22233,0.32583484,2.733278,-0.13105093,-2.6665885,-1.9551591,-1.5830495,-0.08291536,-1.3235371,-1.9921584,1.7294977,-1.2636807,2.6296241,1.51082,-2.0557845,0.7180033,2.696606,-1.6479936,0.04367345,-1.3115118,-3.156929,0.44156852,-2.4476435,1.6106149,-0.30912706,0.7216119,1.5004387,0.8212175,0.9808396,-1.2098244
CommonVoice-ES,1a61f5a9153b63739c0602f060f97e70ff2f4eb5decac4a640a5e085dc460de647d0e4deb50b0c244ed482260055f5bca9b2b3e64a5ccaf6f27c9454301a7985,-7.571194,-1.8575029,3.222391,-2.6660955,1.9234753,3.2931783,0.23671328,2.8235993,5.0193934,3.6343005,0.3387127,-3.0750792,1.0795008,2.787322,3.4747295,0.9278363,1.5738969,-4.269328,1.8732588,-1.9530843,-0.75361377,3.6721838,1.4621401,-3.0274715,-2.9023519,-3.27616,-1.3702368,-2.7271373,-5.133463,1.8127382,-2.0686395,0.35499588,-1.0418667,-4.3535566,0.8821617,0.5963171,0.55582577,2.065224,4.1268535,0.5783331,0.07490555,0.33355427,-0.81148756,1.4481363,1.8816584,-0.08969429,-1.2421591,-2.5695927,1.721734,-0.9700429,-1.8204131,-2.0245876,2.8812828,3.3628511,-2.1031008,1.5678756,-3.9197652,-2.516582,1.7663198,0.6650959,-2.709703,1.09875,-1.2952679,-3.5615263
CommonVoice-ES,1a729b3c1030592ca5b26f95569884ab6286c7fcfa39ee5b1c44b789fda4cd92ada95782d9a799685761ac8dfd149f63cbe940f60676f8c40c277d1cc9d88f6a,-5.071572,3.583488,-5.2889476,-2.0045316,2.2086318,-0.9343246,-1.9938345,1.4429299,4.513068,-2.8057756,-0.686063,0.30859363,1.0884032,-4.271588,3.2646856,-3.22688,-0.616316,1.0414996,-1.8873489,0.1910153,-1.0526074,0.4122493,-1.585292,-0.58638924,4.3088746,-3.254883,-1.3117197,-2.7357938,-2.4073372,1.2539005,-1.8449965,-0.102934465,0.36092559,2.3106713,3.695739,-0.2591206,1.4083434,-1.8026775,2.3284297,-5.202755,1.5117527,-0.33197707,-0.38851306,-3.684903,-5.1469326,-2.9049418,-0.7381102,1.0618742,2.3076758,1.4240586,-1.4269142,-0.21740298,0.76143706,3.0126038,1.3977085,2.6010008,4.872556,-2.5477204,1.8320062,1.6037353,-3.9476843,2.905499,0.104389474,-0.5451313
CommonVoice-ES,1a7899081ab50b67adcbd3aed9b8a0d6dd72bd980675dd19cc0ecb57c4d7ee6efeaee94f4071c0132c5a936ec59db9c42eb382024dd9ff5b9ee6942274b64364,-6.931972,-3.7950017,3.8272223,-1.2601296,-2.3970504,-1.67804,0.93935853,2.0932422,4.044337,1.2512312,-0.86226785,-1.7530155,1.0407792,3.320399,-4.4647827,0.6741072,2.6987166,-0.1936817,4.5348673,-2.4416173,-2.078006,-0.14077185,-1.8447809,5.382076,-3.3543894,0.031934574,-1.1082749,-1.8291388,-0.93756306,5.3685746,-1.4862074,-0.68127805,-5.1131725,3.4059546,0.40851444,0.25845578,1.2731423,1.9066706,1.7310066,-0.0744175,0.60181326,0.97940147,2.1123996,-0.92016125,-4.2080107,2.335216,-1.5051237,-0.14901234,-2.0451412,-0.099638276,0.24563566,0.19891936,1.6567683,-1.8171508,0.4157828,1.156529,-2.3144562,2.1931686,1.0830563,1.9435725,2.3772705,-4.427548,-3.4738941,2.0210967
CommonVoice-ES,1a8cd76bd0e143b66612a4feec81500cb0171fa77b5cd68e660aa06bbd023470b66408f3728572cd2f0adf43e40fd0054072731a35ef9c4361046b929a9dccd7,-7.497691,-2.8046386,2.641155,0.73011756,1.6283299,3.7217517,-3.8705227,-0.50418586,2.945643,4.759077,-2.460632,1.1834779,0.71072185,4.308331,2.0793521,-0.9961492,1.8074548,0.25367725,1.2489704,-2.220536,0.1352738,0.90240943,1.1904533,0.52804595,1.2005926,-1.0936528,-0.07752895,-1.214917,-1.2201604,1.1344123,-1.1742792,2.6202385,-0.03359158,0.760216,2.2782738,-4.736664,1.3690853,1.6206018,-0.45767295,1.9606621,-2.1931682,-0.71561265,-0.230208,2.090429,1.9600314,-1.1676344,0.037223443,1.3329479,-0.5908662,0.605144,1.5705034,1.1542442,1.0347471,-0.17558329,0.12349344,-1.781001,0.7594257,-1.9607157,-4.748857,1.6035417,2.3075938,-0.4950519,-0.3643858,2.9152486
CommonVoice-ES,1a95fcbc2ffefb823a82f382f0ce3890b429c48e6670700295c6aacb3d5df912ef2878a2949e59cfdcc257da3d823a6465bbc18894e453823dc063ad92ef0cd8,-5.8055716,-2.682077,3.2040212,-0.19267446,-4.421305,0.7828076,0.966098,-1.0294565,0.90387154,-1.1410425,0.028766489,1.4924432,3.0004802,6.3053513,-3.7747233,-1.1951655,4.259971,-3.6436038,2.479039,0.6756129,-4.052822,-1.2058626,0.3360828,7.9151635,-5.424255,-2.653198,1.7306708,2.1701484,1.0362307,6.243092,-0.32685927,-1.4911203,-2.7137845,2.2215037,-1.9391587,0.83706176,-0.89782137,-2.5350041,-0.18184471,0.033815168,-0.048993338,-1.0705457,1.317615,1.1103011,1.1804147,0.4764604,-3.126478,1.8766832,-4.2375994,-2.1584513,2.5565968,-1.8485289,3.3304942,-1.7061011,-2.9478078,1.4764516,0.59614235,0.20482722,0.89371455,1.582808,1.1798048,1.8047287,0.47272274,1.5036021
CommonVoice-ES,1aacbac84464296ce62dbd61d7e3cad08dbe6de3bff1e854ca88f948f20b4102f3735226e144aa31013a463315c22e28ef3af5ea1144b70599fe5145ad42d742,-12.265088,2.045562,-1.8730911,3.0587928,-2.6533003,0.18420571,1.8265862,-3.244431,-2.848892,2.6581812,0.87525976,2.8525746,-2.9530916,2.4149578,2.0396388,-0.6240153,2.111021,-0.009832075,-0.09430677,-0.5503397,2.2730818,-3.2641242,1.3916435,-0.48685256,1.3569609,0.5029068,3.6154597,-1.7871215,1.339167,0.4870768,-3.1197524,-3.030235,-0.4681963,2.612802,-1.0881425,4.0388546,-0.15404928,1.614291,2.2797801,2.839988,-2.099894,2.2164571,-2.0332015,-2.009111,-1.1493064,-0.3232173,-0.48140764,-2.206565,2.077775,-1.1200039,2.4716685,-1.3166347,-0.25218925,-3.7609012,-3.3704813,-1.3427848,-3.5059028,-2.496888,-0.67138386,0.21913421,1.4098916,1.0750191,-2.2057528,0.08842832
CommonVoice-ES,1ac1b9542dc247ba743bb5864aa1db90c4b1448d78f8ae514992a210660e360122093bda3046e2cdebe6340601f96103d68fd9c1aea0c0776cb4084118c5bf51,-8.247638,2.8660398,-3.0936012,1.7958373,3.0180662,0.31431487,-1.0347043,-0.5753553,0.5435402,0.32544842,-2.2852318,-4.5720334,-3.2004566,-1.0737692,-1.2696853,1.3831754,-0.6143588,0.42714515,2.0950732,-1.89997,-0.34874064,-0.23501584,0.42251074,-2.5168943,-1.5221187,0.09497794,-0.10230468,1.369181,-2.729826,-0.64165294,-2.1531978,0.08156927,1.6582246,3.1036646,-0.47945845,-0.74156505,-2.0928664,-1.727925,0.6230176,4.6984034,0.32581437,3.3843262,2.2783675,-1.8027649,0.5401728,1.5263156,-0.8880435,1.7493635,-0.3520189,0.17049433,2.3693578,-2.4884417,-2.4209378,-0.75367,-1.198602,1.0139431,-3.5625734,0.4011653,-1.6420797,1.7866162,-1.5561146,0.7818432,-1.0388614,-0.463413
CommonVoice-ES,1ac69cab4ddd84db997fce171dc6cfb1a53df8139f42cbea1eb740acb00736bfd793c852406cd93976baa980f2a665d8b7fef93e54660a2d86de848480e51eeb,-6.6386337,-1.3012902,3.228523,-3.9921396,-1.8197799,-6.2336397,3.97795,-0.3706783,-6.7527456,0.4524038,3.4512014,-0.12947704,-2.474093,-0.514638,2.0464256,-0.25943854,-3.0136702,-1.438696,0.59125566,-0.045387127,-0.00031856957,1.367377,-1.9632746,0.1810981,2.1364033,0.8007676,0.07687507,-0.065377906,-1.7716143,-2.2658694,1.325242,3.142082,-1.7333839,-1.4918605,0.018821726,-0.25347006,-0.48450834,-0.514637,-0.011970192,1.4263643,0.01950469,-1.1697907,0.7906779,-0.578361,3.4720674,-2.3014567,0.71667534,-0.9234557,-0.47069892,-1.406857,-0.62483376,-0.13052543,-0.7875836,2.6051717,0.20913519,0.08982535,-0.5679901,-0.43437195,-1.5113267,1.4054958,-0.56232816,0.73205215,0.058982316,1.45533
CommonVoice-ES,1ad54b65361f9fac44d5fc798b5083715d142debcccab573a42b3e6c318e04b264f8ee6fe4a111de77fb52452b37f7ccf6cd3653c5e2d388128f284f17c4d83f,-7.814774,0.7683085,2.205577,3.4990845,6.7553697,2.3418226,-2.4604023,0.07288703,6.476299,-0.8268767,-1.5091342,2.6661074,1.9244672,1.1913401,9.866188,-2.9050333,-0.6984506,1.4813436,0.54394203,1.4522231,-1.1060971,-1.1376088,0.28403497,1.649086,0.081733465,-0.63935965,-2.3701677,-4.2949953,-0.84013957,0.2062021,-2.4800487,0.9400243,0.46188623,0.48468053,0.4334282,-0.34898674,-0.91027695,-3.152186,-2.4285176,1.2218487,-2.1228788,-5.900184,-2.189137,-0.612126,-0.52315164,-0.34551394,-0.5711631,-0.21387722,1.8839505,-0.72166765,1.4045142,-0.75034726,-3.4302635,-0.3393585,-1.2812966,1.2282469,-2.544622,-1.688163,-0.69212353,0.6325296,-0.40793765,-3.1262898,-0.9442254,0.98506963
CommonVoice-ES,1ae955ff460d082d066bb93129accb3a7970a1e6d7b2ac72f361cd3150986d83068a9203967baa7d0568cece8f944b14c236552309392577bc219a96a7152534,-9.265926,-2.8660975,1.9677633,2.1510074,-0.66682774,-1.8127699,-2.7713127,-0.73278165,1.1682187,4.101814,1.6897106,-0.6064186,0.36498824,-0.70103425,-3.8672893,3.3517714,-2.6158664,1.0420948,-1.2404937,0.46274066,2.3736613,-1.469828,-3.0020669,-2.3464973,2.5756614,-1.5778668,2.226718,0.64041287,-3.2003148,1.3118091,-1.697951,0.5128412,0.62891906,0.41269806,2.243852,-1.1788851,0.31986365,-1.0103782,0.3130514,-2.5009205,-1.2044147,-2.0354614,-0.28367049,-0.16421744,2.6515727,3.5144484,3.4263055,-1.076765,-0.05499593,-1.050027,2.6329703,-0.2882158,1.1610477,-0.62301224,1.7455952,-1.7591649,0.33535066,1.1723872,-0.3518358,1.4408615,2.8317192,2.6964617,0.74775743,-1.2311718
CommonVoice-ES,1b1b46cd40301d73684f4444d434526c85cc7635af119ccdd82708632b366f7ab217e8eafbb71f23e4dfd282ff4b24f7ba56045d0cf682e5f1d70eca0af42586,-11.095411,-0.84353286,2.1896708,-1.0906396,-0.73321545,4.1722684,-0.8208973,-0.1265489,0.8114731,-3.986735,5.503971,-3.4429033,0.0016984841,-6.4372334,3.1881957,-1.8045095,1.1664089,-0.02165048,0.74647844,2.424585,2.9194307,1.01738,-0.27609628,-2.2398772,-0.22802605,-1.4570626,2.6885395,-0.6532217,0.022266395,-1.0321168,0.015869463,-1.4234215,-0.46679568,-1.8840758,-0.028958619,-0.10795388,-1.3693563,-0.8979337,-2.5453653,0.8570841,5.4286833,-0.07892763,-1.3442335,1.4204224,-0.44925556,-0.37179717,-1.5626853,3.0177877,-1.7069342,1.9363708,-0.15296514,-2.5171614,3.0974936,0.4255783,1.044217,-2.7869153,0.70193684,-0.215026,0.7154703,-0.59098685,0.3085352,0.85131013,-1.531336,-3.0493584
CommonVoice-ES,1b489a12df547344e4767147f384d5b40864c478651087123724ba9ed2973769b656753b659f57cbc5db689214001b9f45d14e09d9a7cc751396cd341cc853b0,-8.7573595,-0.5259653,1.9090421,-2.6858401,-1.5664222,3.3272274,-1.4248387,-1.2600287,1.5082179,-1.5451378,1.4726567,1.5072174,7.5686755,2.450361,0.9040893,2.02879,4.1562815,0.29933628,2.348674,0.3741486,0.18634294,1.049684,-0.36184716,1.2536795,0.8432267,0.08319122,-1.7039908,1.7890224,0.47914973,5.2344255,3.6328466,2.6381884,0.115796514,-2.9871495,-1.29131,0.3717974,2.0488403,-1.5897627,5.3546286,-1.5259501,-3.4832203,3.709642,-0.8114514,-1.1804067,-1.8924246,-0.15606825,1.2300831,-1.3450321,-0.7535162,-0.60871154,-0.8944018,1.3850113,-2.7881358,-0.40643746,0.19333203,1.9504176,-3.274248,-1.2198521,1.7728065,0.6798844,-0.25539577,-1.5660942,1.7368904,-1.7790093
CommonVoice-ES,1b4d052d4f75108b442ba8335e7f5e353b75d58b5f8be24a97baa072d4c0875b8235263d665d7b86e207ba416d8e703ba41ab368c1f4c0d9e0ce13a9679eb1db,-8.903849,-1.2348971,1.7676904,1.5881644,-1.2652683,-1.4587502,2.026712,-2.2511945,1.3344198,-0.41511092,3.0338094,1.3602488,0.79186374,5.9375362,-1.0688895,0.70005643,-1.4739851,-0.33241236,1.5364329,-1.1529422,-1.1469991,3.0463462,0.3967347,1.4192402,-1.4258181,0.6933505,1.9189732,0.763982,-3.4286516,-1.1559465,0.27148917,3.4488955,1.3073384,-1.7306466,-0.559541,-1.0979033,1.6351804,0.3514845,-1.0334992,-3.1808317,2.3386567,-2.1563604,0.7563808,-3.1786323,-4.4450903,1.0982457,-0.95902014,2.2205963,2.3361459,-1.5080323,-4.0761003,-0.7313985,1.494566,-0.5056673,-3.593817,-0.47651702,2.8997345,-0.035967484,-5.0732093,-4.908013,1.4524813,0.45565942,1.2297772,0.017560644
